Name,Price,District,Street,Czynsz,Area,Rooms,Building,Owner
"Centrum, ul.Inflancka, garaż, metro Czynsz w cenie",6 000,Śródmieście,ul. Inflancka,0,70,3,apartamentowiec,biuro nieruchomości
Apartament na Dolnym Mokotowie,25 000,mazowieckie,,3 200,350,7,apartamentowiec,biuro nieruchomości
Luksusowy Penthouse,21 000,Wilanów,,1 400,"103,59",3,apartamentowiec,biuro nieruchomości
Apartament na Starym Żoliborzu,15 000,Żoliborz,ul. Kaniowska,1 000,140,5,kamienica,biuro nieruchomości
Apartament na Warszawskim Mokotowie,24 500,Mokotów,,0,175,4,apartamentowiec,biuro nieruchomości
Apartament w Centrum Starego Miasta,15 000,Śródmieście,,0,120,3,kamienica,biuro nieruchomości
Penthouse z jacuzzi,9 900,Mokotów,,2 000,133,3,apartamentowiec,biuro nieruchomości
Mieszkanie w Wilanowie,9 200,Wilanów,,1 000,92,3,apartamentowiec,biuro nieruchomości
Mieszkanie - Warszawa Mokotów,17 000,Mokotów,,0,225,5,apartamentowiec,biuro nieruchomości
"Przepiekne, 2-pokojowe mieszkanie przy Polach Moko",3 800,Mokotów,ul. Jana Karola Chodkiewicza,0,51,2,apartamentowiec,prywatny
2-pokojowe 44 m2 na strzeżonym osiedlu,2 500,Tarchomin,ul. Książkowa,0,43,2,blok,biuro nieruchomości
Na wynajem 3pok.mieszkanie w centrum Warszawy,4 700,Śródmieście,ul. Grzybowska 9,885,48,3,blok,prywatny
Komfortowe mieszkanie na Muranowie,5 500,Muranów,ul. Stawki,0,"50,5",2,apartamentowiec,biuro nieruchomości
2 pokoje 36 mkw Metro Słodowiec,2 400,Słodowiec,ul. Jana Kasprowicza,0,36,2,blok,biuro nieruchomości
Mieszkanie 2-pokojowe blisko metra - nowe,3 200,Praga-Północ,,780,43,2,blok,prywatny
Bezpośrednio - BAnderii 4 - WOLA - 50m2 - 2pokoje,3 500,Wola,ul. Banderii,600,50,2,blok,prywatny
Mieszkanie centrum,2 000,Śródmieście,ul. gen. Władysława Andersa,520,29,1,kamienica,prywatny
Bez prowizji | 2 pokoje + kuchnia | Białej Floty,850 EUR,Mokotów,ul. Białej Floty,100 EUR/miesiąc,33,2,blok,prywatny
Apartament na Mokotowie Dolnym,3 800,Dolny Mokotów,ul. Piaseczyńska,0,54,3,blok,biuro nieruchomości
Piękny cichy apartament 3 pokoje centrum,7 000,Śródmieście,ul. Marszałkowska,980,98,3,kamienica,biuro nieruchomości
Mieszkanie przy rondzie Wiatraczna GROCHOWSKA,3 000,Praga-Południe,ul. Grochowska,550,30,1,blok,prywatny
"2 osobne pokoje, Marina Mokotów, balkon, 7 piętro",3 000,Wierzbno,ul. Przejazd,800,53,2,apartamentowiec,biuro nieruchomości
"Elegancki, nowy Apartament- Wilanów",5 000,Wilanów,,700,63,2,apartamentowiec,biuro nieruchomości
Dwupokojowe Kokoryczki 40 m2 bezpośrednio,3 300,Gocławek,ul. Kokoryczki 3A,600,40,2,blok,prywatny
"NOWE, Bezpośrednio 2-pok, Posag 7 Panien URSUS",2 900,Ursus,,550,35,2,blok,prywatny
Piękny apartament w prestiżowej części Wilanowa,4 100,Wilanów,ul. Franciszka Klimczaka 10,1 068,55,2,apartamentowiec,prywatny
Przepiękny apartament Dolny Mokotów Wilanowska!,8 500,Dolny Mokotów,,0,78,3,apartamentowiec,biuro nieruchomości
Apartament Wilanów przy Hlonda z widokiem na park,6 000,Wilanów,,900,74,3,blok,biuro nieruchomości
Bezpośrednio mieszkanie z tarasem i klimatyzacją,9 500,Wilanów,ul. Adama Branickiego,0,112,3,apartamentowiec,prywatny
"Klimatyczne mieszkanie w kamienicy, Stare Miasto",4 800,Stare Miasto,ul. Piekarska,730,"47,07",2,kamienica,biuro nieruchomości
"3 pokoje, garaż, Mokotów, Wyścigi, aleja Wyścigowa",4 000,Mokotów,al. Aleja Wyścigowa,850,61,3,apartamentowiec,prywatny
"Stary Mokotów, Przy Parku, Wyjąktowe",1 900,Mokotów,ul. Dworkowa,0,31,1,blok,biuro nieruchomości
Warszawa Bielany ul. J. Conrada 65m 3 pokoje,3 500,Chomiczówka,,800,65,3,blok,prywatny
Przestronny apartament w Miasteczku Wilanów,11 000,Wilanów,ul. Adama Branickiego,0,"110,72",3,apartamentowiec,biuro nieruchomości
Nowe mieszkanie 2 pokoje 39 m2 Warszawa Włochy,3 200,Włochy,ul. Jutrzenki 114b,500,39,2,apartamentowiec,prywatny
Stare Miasto Kawalerka Z Klimatem Ciche,2 600,Stare Miasto,pl. Plac Zamkowy,0,33,1,kamienica,biuro nieruchomości
Jasny apartament na Mokotowie - 2 pokoje,4 800,Dolny Mokotów,ul. Jana III Sobieskiego,1 000,55,2,blok,prywatny
"BEZPOŚREDNIO 2 pokoje, garaż, 50m, bud. z 2008r.",2 800,Praga-Północ,,900,50,2,blok,prywatny
Marina Mokotów/ Mokotów /Wyględów/Galeria Mokotów,3 900,Mokotów,,1 300,68,3,blok,biuro nieruchomości
"3 oddzielne pokoje, ogródek, Ronda Wiatraczna",3 200,Praga-Południe,,0,54,3,blok,biuro nieruchomości
Luksusowy apartament dla wymagających,4 500,Praga-Południe,,500,65,2,kamienica,prywatny
Piękne mieszkanie na Saskiej Kępie po remoncie,3 900,Saska Kępa,,798,55,2,Zapytaj,biuro nieruchomości
Luksusowy apartament w miasteczku Wilanów,20 000,Wilanów,ul. Prymasa Augusta Hlonda,0,150,4,apartamentowiec,biuro nieruchomości
Apartament przy Łazienkach Królewskich garaż,7 500,Sielce,ul. Górska,725,"58,28",3,Zapytaj,biuro nieruchomości
"2 pokojowy apartament, ul.Karolkowa / przy metrze",4 000,Wola,"Czyste, ul. Karolkowa",611,52,2,apartamentowiec,biuro nieruchomości
Apartament w sąsiedztwie parków!,10 000,Śródmieście,ul. Cecylii Śniegockiej,0,100,3,apartamentowiec,biuro nieruchomości
"Eleganckie, 2 pokojowe w apartamentowcu. Garaż",3 500,Praga-Południe,,0,41,2,apartamentowiec,biuro nieruchomości
"Przytulne mieszkanie, Warszawa Tarchomin, 57,7m2",3 000,ul. Modlińska 73A,,600,57,3,blok,prywatny
Dwupokojowe mieszkanie na Ursynowie,3 500,Ursynów,ul. Filipiny Płaskowickiej,0,"54,8",2,blok,biuro nieruchomości
Nowe 2-pokojowe; INTELIGentny dom; garaż,3 400,Ursus,ul. Edwarda Habicha 12,550,40,2,blok,prywatny
Mieszkania na Górnym Mokotowie,3 800,Górny Mokotów,ul. Króżańska,840,49,3,kamienica,biuro nieruchomości
Blisko Saskiej Kępy Ciche Z Ogródkiem Nowe,3 300,Praga-Południe,ul. Jana Nowaka-Jeziorańskiego,0,43,2,apartamentowiec,biuro nieruchomości
2-pokojowe przy Stacji Metro Słodowiec,3 000,Żoliborz,park im. Stefana Żeromskiego,0,49,2,apartamentowiec,biuro nieruchomości
LUKSUSOWY apartament w Centrum,15 000,Śródmieście,ul. Piękna,1 500,110,3,apartamentowiec,biuro nieruchomości
Ładne 2 pokoje Mokotów po remoncie,2 950,Mokotów,ul. Artura Malawskiego,0,40,2,blok,biuro nieruchomości
Apartament Giełdowa Metro Daszyńskiego,3 800,Wola,ul. Giełdowa,500,35,2,apartamentowiec,prywatny
Ciche M2 z garażem i balkonem 400m od Metra Kabaty,3 450,Ursynów,ul. Wąwozowa,0,"58,61",2,blok,prywatny
Kawalerka po remoncie! Al. Solidarności Żelazna,2 100,Śródmieście,"al. Aleja ""Solidarności"" 98",600,20,1,blok,prywatny
2 pokoje Wola Górczewska blisko metra/Wola Park,3 700,Wola,ul. Górczewska,0,50,2,blok,biuro nieruchomości
| Nowe 3 Pokoje | Super Lokalizacja | Wola |,5 500,Wola,ul. Juliusza Ordona,600,65,3,blok,biuro nieruchomości
Dwa pokoje z ogródkiem Ursa Sky Park Ursus,3 500,Ursus,,650,"50,6",2,apartamentowiec,biuro nieruchomości
Mieszkanie 2pok Wilanów do wynajęcia/Flat for rent,3 400,Wilanów,ul. Adama Branickiego,850,53,2,apartamentowiec,prywatny
Wynajmę przestronne 3 pok. mieszkanie na Bemowie,3 300,Bemowo,,850,66,3,blok,prywatny
Wynajem - Warszawa / Kabaty / Wąwozowa z miejscem,2 600,Kabaty,ul. Wąwozowa 9,800,57,2,blok,prywatny
Premium/Wilanów/Nowe/3Sypialnie,12 000,Wilanów,,0,121,4,Zapytaj,biuro nieruchomości
Przepiękne dwupokojowe mieszkanie Sadybie,5 000,Mokotów,,650,48,2,Zapytaj,biuro nieruchomości
"Nowe, rozkładowe mieszkanie przy Parku ze Stawami.",6 600,Włochy,,500,"64,4",3,apartamentowiec,biuro nieruchomości
Apartament na wynajem Grzybowska 4,11 000,Śródmieście,,1 000,"72,5",2,apartamentowiec,biuro nieruchomości
"Duża, widna kawalerka - 39 m2 na Ursynowie",2 400,Ursynów,al. Aleja Komisji Edukacji Narodowej 26,500,39,1,blok,biuro nieruchomości
Apratament na wyanejm | Mennica Residence | Wola,30 000,Wola,,0,130,4,apartamentowiec,biuro nieruchomości
4 pokoje | Mokotowska | Metro Politechnika,7 700,Śródmieście Południowe,,0,103,4,kamienica,biuro nieruchomości
kabaty 2 pokoje+ garaż podziemny,3 000,Kabaty,ul. Kabacki Dukt,0,42,2,apartamentowiec,biuro nieruchomości
"Nowe 2 pokoje, wysoki standard.",3 400,Białołęka,ul. Odkryta,470,45,2,apartamentowiec,biuro nieruchomości
"Mieszkanie 63m2(3pok)w kamienicy, metro, Mokotów",4 000,Mokotów,ul. Wołodyjowskiego,0,63,3,Zapytaj,biuro nieruchomości
"Mieszkanie 40m, ul. Łamana przy PKP Włochy",2 800,Stare Włochy,ul. Łamana,450,40,2,blok,prywatny
Saska Kępa-Apartament z garażem,5 000,Saska Kępa,ul. Ateńska,1 200,85,3,apartamentowiec,biuro nieruchomości
Przytulna Kawalerka na wynajem Bielany,2 800,Bielany,ul. Jana Kochanowskiego,500,27,1,blok,biuro nieruchomości
Nowe 3 oddzielne pokoje na Ursusie,4 500,Ursus,ul. Herbu Oksza 3,700,66,3,blok,biuro nieruchomości
Twój kawałek luksusu w otoczeniu zieleni !!!,5 700,Wilanów,ul. Prymasa Augusta Hlonda,800,75,3,Zapytaj,biuro nieruchomości
2-pokoje | Wola | Al. Jana Pawła II,3 300,Wola,,830,47,2,blok,biuro nieruchomości
"Niezamieszkałe 2 pokojowe mieszkanie, Metro Płocka",3 500,Wola,ul. Skierniewicka,750,48,2,Zapytaj,biuro nieruchomości
Apartament z widokiem i sauną w Apartamenty Murano,8 000,Śródmieście,ul. Pokorna,0,95,3,apartamentowiec,biuro nieruchomości
2 pokoje Al. Armii Ludowej 4,3 000,Śródmieście,al. Aleja Armii Ludowej,0,41,2,kamienica,biuro nieruchomości
2 pokoje ul. Szaserów 115,2 600,Grochów,ul. Szaserów,0,36,2,blok,biuro nieruchomości
"Żeromskiego1,metro Słodowiec, dwupokojowe",3 500,Słodowiec,ul. Stefana Żeromskiego,0,44,2,apartamentowiec,prywatny
wynajme kawalerkę,2 300,Stara Ochota,,340,24,1,kamienica,prywatny
Mieszkanie - Warszawa Śródmieście,23 500,Śródmieście,ul. Nowogrodzka,1 500,156,4,Zapytaj,biuro nieruchomości
NOWE 2023_jeszcze nikt nie mieszkał_10 min centrum,3 997,Ochota,,0,50,2,apartamentowiec,prywatny
2 pokojowe mieszkanie w inwestycji Qbik!,4 500,Mokotów,,0,52,2,apartamentowiec,biuro nieruchomości
"Mieszkanie 33 m2, Warszawa Śródmieście, Karmelicka",2 700,Śródmieście,ul. Karmelicka,450,33,2,kamienica,prywatny
Nowoczesny apartament z sauną i widokiem,12 000,Żerań,ul. Krzyżówki,1 500,130,4,apartamentowiec,prywatny
Mieszkanie z ogródkiem na kameralnym osiedlu,3 300,Bielany,ul. Zabłocińska,730,"45,28",2,blok,prywatny
Piękne 2-pokojowe mieszkanie w Forcie Służew,4 700,Mokotów,ul. Nowoursynowska,0,48,2,apartamentowiec,biuro nieruchomości
"Bemowo/Jelonki 2 pokoje, widna kuchnia",2 900,Bemowo,ul. Eugeniusza Szwankowskiego,0,46,2,blok,biuro nieruchomości
Dwupokojowe studion przy Kaliskiej,3 600,Stara Ochota,ul. Kaliska 23,600,55,2,apartamentowiec,prywatny
"2 pokoje 37m Ursus blisko SKM, NOWE",2 700,Ursus,ul. Herbu Oksza,580,37,2,blok,prywatny
Wyjątkowy apartament 2 pokoje Rondo Daszyńskiego.,5 400,Wola,ul. Karolkowa,1 050,50,2,apartamentowiec,prywatny
Mieszkanie do wynajęcia Samarytanka TARGÓWEK,2 900,Targówek,ul. Samarytanka,600,50,2,blok,prywatny
Dwupoziomowy Apartament 103 m2 qbik loft woronicza,10 500,Górny Mokotów,Wornicza 31,1 500,103,4,apartamentowiec,prywatny
"Prowizja 0%! Przestronne, narożne w pobliżu parku",9 600,Wola,ul. Elekcyjna,2 000,108,4,apartamentowiec,biuro nieruchomości
"Powiśle, 2 pokoje, Super widok! Bezpośr., garaż",3 100,Śródmieście,Powiśle Solec Fabryczna Górnośląska Rozbrat Koźmińska Śniegockiej,650,39,2,blok,prywatny
Wynajmę NOWE mieszkanie 37 m2 Bródno/Białołęka,2 800,Bródno,ul. Marywilska,600,37,2,blok,prywatny
Eleganckie mieszkanie os.Wilno 54m,3 000,Elsnerów,ul. Zamkowa 8,850,54,2,blok,prywatny
Nowoczesny dwupoziomowy loft,5 900,Praga-Północ,ul. Stalowa,0,74,2,apartamentowiec,biuro nieruchomości
Stylowe mieszkanie w Babka Tower | Panorama miasta,6 500,Muranów,,0,55,2,apartamentowiec,biuro nieruchomości
Loft w Fabryce na Pradze i miejscem parkingowym,3 500,Praga-Północ,ul. Kawęczyńska,570,38,2,loft,prywatny
Widok na zieleń/ 5 sypialni/ 3 miejsca postojowe,22 000,Górny Mokotów,Eko Park,0,203,6,apartamentowiec,biuro nieruchomości
"Wyjątkowe mieszkanie z tarasem,blisko st.M.Natolin",7 000,Ursynów,al. Aleja Komisji Edukacji Narodowej 48,1 770,96,4,blok,prywatny
"56m2 z garazem i balkonem, al KEN, metro Ursynow",3 350,Ursynów,al. Aleja Komisji Edukacji Narodowej,450,56,2,apartamentowiec,prywatny
✮ Przytulne 2 Pokoje ✮ Balkon ✮Miejsce Parkingowe,4 200,Włochy,ul. Budki Szczęśliwickie,490,"47,6",2,Zapytaj,biuro nieruchomości
Mam kontakt do każdego lokalu.Bez Prowizji,15 000,Śródmieście,ul. Złota 44,0,64,2,Zapytaj,prywatny
Wygodna kawalerka w dobrej lokalizacji,2 500,Praga-Południe,ul. Opinogórska,0,30,1,Zapytaj,biuro nieruchomości
Mieszkanie przy lesie Kabackim po kap. remoncie,4 000,Ursynów,ul. rtm. Witolda Pileckiego,0,"55,5",2,blok,prywatny
"Wola 2 pokoje 37m2 - Wola Park, Metro.",2 700,Wola,ul. Władysława Przanowskiego,400,37,2,blok,prywatny
2 pokojowy apartament na ul. Szczęśliwickiej,5 000,Stara Ochota,ul. Szczęśliwicka,850,54,2,apartamentowiec,prywatny
NOWA Kawalerka_22 m2/Wola/Metro/LUX,2 600,Wola,ul. Juliusza Ordona,1,22,1,apartamentowiec,biuro nieruchomości
Mikroapartament - doskonały również na biuro,2 000,Włochy,Wiktoryn 6A,200,"17,29",1,apartamentowiec,prywatny
Zadbane mieszkanie na Mokotowie,2 400,Mokotów,,600,31,1,blok,biuro nieruchomości
Kawalerka 42m2 Natolin 4 min do metra,2 500,Ursynów,ul. Belgradzka,0,42,1,Zapytaj,prywatny
"3 pokojowe z balkonem blisko metra, cicha okolica",2 199,Wola,Wola Park,1 042,"56,5",3,blok,prywatny
Przytulna kawalerka Miasteczko Wilanów,2 450,Wilanów,ul. Sarmacka,0,"36,6",1,apartamentowiec,biuro nieruchomości
Urocza kawalerka z osobną kuchnia na Muranowie,2 900,Muranów,,400,34,1,blok,biuro nieruchomości
Metro Wierzbno_2 pok. 41m2_apartamentowiec,2 900,Wierzbno,ul. Garażowa,600,41,2,apartamentowiec,biuro nieruchomości
Mieszkanie na zielonym Powiślu,4 500,Powiśle,ul. Górnośląska 2,500,28,2,blok,prywatny
Wyjątkowy apartament w centrum Warszawy,4 300,Śródmieście Południowe,ul. Wilcza,500,35,1,kamienica,prywatny
"2015r, ogród zimowy, dwa miejsca garażowe, metro",16 000,Czyste,ul. Giełdowa,0,97,4,dom wolnostojący,biuro nieruchomości
Mieszkanie 2 pokoje - Zielona Białołęka,2 500,Białołęka,ul. Leona Berensona,500,36,2,blok,prywatny
Mieszkanie 2 pok. w apartamentowcu,3 800,Praga-Południe,ul. Kokoryczki,0,34,2,apartamentowiec,biuro nieruchomości
NOWE - 2 pokojowe. Pełne wyposażenie.,2 800,Tarchomin,ul. Aluzyjna,300,47,2,blok,prywatny
Wynajmę zupełnie nową kawalerkę na Gocławiu,2 400,Praga-Południe,,400,29,1,blok,prywatny
2 pokojowe/Dolny Mokotów/miejsce garażowe,5 500,Dolny Mokotów,ul. Siekierkowska,485,49,2,apartamentowiec,prywatny
✅ 47m2 3p SASKA KĘPA nad Wisłą najem / od 6.03,2 997,Saska Kępa,ul. Zwycięzców,900,47,3,blok,biuro nieruchomości
Przestronna Kawalerka | Stacja Metra Wierzbno,2 800,Mokotów,ul. Puławska,450,35,1,Zapytaj,biuro nieruchomości
2-pokojowe mieszkanie na Żoliborzu Artystycznym,4 800,Żoliborz,ul. Przasnyska,500,50,2,Zapytaj,biuro nieruchomości
Mieszkanie - Warszawa Praga-Południe Saska Kępa,20 000,Saska Kępa,ul. Alzacka,0,"173,22",4,Zapytaj,biuro nieruchomości
Kawalerka | Świeżo po remoncie | Super lokalizacja,2 800,Wola,ul. Józefa Bema,410,30,1,Zapytaj,biuro nieruchomości
85 m2 | Tuż obok M2 | Czynsz I Parking W Cenie !,4 800,Targówek,ul. Tadeusza Korzona,0,85,3,Zapytaj,biuro nieruchomości
mieszkanie 2pokoje duży balkon nowe osiedle,2 650,Białołęka,Arcangela Corellego,600,"41,5",2,blok,prywatny
Mieszkanie 48 m2 z Widokiem Na Pałac Kultury,3 200,Śródmieście,ul. Grzybowska 9/11,800,48,2,apartamentowiec,biuro nieruchomości
Wynajmę zupełnie nową kawalerkę na Gocławiu,2 400,Praga-Południe,,400,29,1,blok,prywatny
Fantastyczne mieszkanie na ulicy Łuckiej 15,3 500,Wola,ul. Łucka 15,630,49,2,apartamentowiec,prywatny
"Rembielińska, garaż, metro, galeria handlowa, park",5 000,Bródno,ul. Rembielińska,730,77,3,blok,prywatny
"Nowe 3 pok. z klimatyzacją, Żerań,2 msc w garażu",4 800,Białołęka,ul. Żerańska,0,58,3,apartamentowiec,prywatny
Nowoczesny apartament na Bielanach,4 700,Młociny,ul. Sokratesa,800,69,3,apartamentowiec,prywatny
Umeblowane mieszkanie do wynajęcia od zaraz,2 700,Wesoła,,0,57,3,blok,biuro nieruchomości
--Mieszkanie do wynajęcia w centrum Warszawy--,2 000,Wola,ul. Icchoka Lejba Pereca,0,"27,5",1,Zapytaj,biuro nieruchomości
"Wysoki standard, pełne wyposażenie, 62m2, Mokotów",4 800,Mokotów,,550,62,2,apartamentowiec,prywatny
Piękny apartament Patria Kruczkowskiego,13 500,Powiśle,,500,105,3,blok,prywatny
Elegancki trzypokojowy loft na Mokotowie,15 000,Mokotów,ul. Jana Pawła Woronicza,0,112,3,apartamentowiec,biuro nieruchomości
"NOWE! 39 m2, 2 pok. + balkon + garaż, ul. Kłobucka",3 300,Mokotów,ul. Kłobucka,520,39,2,apartamentowiec,prywatny
wynajmę przytulne mieszkanie przy ul. Lazurowej,2 900,Bemowo,ul. Lazurowa,600,40,1,blok,prywatny
Nowe 4 Pokoje - 70m2 - blisko WATu,3 000,Bemowo,ul. Stanisława Lencewicza,800,70,4,blok,biuro nieruchomości
2 pokowe mieszkanie na Grochowie,2 000,Praga-Południe,ul. Józefa Dwernickiego,620,37,2,Zapytaj,biuro nieruchomości
Mieszkanie na bliskiej Woli,2 500,Wola,ul. Płocka,0,28,1,blok,prywatny
Piękny dwupokojowy apartament przy rondo ONZ,4 000,Śródmieście,ul. Waliców,600,45,2,Zapytaj,biuro nieruchomości
Mieszkanie w kameralnej willi na Saskiej Kępie,12 000,Praga-Południe,ul. Genewska,0,126,4,dom wolnostojący,biuro nieruchomości
"Przy Metrze Młynów, 2 oddzielne pokoje + kuchnia",3 500,Wola,ul. Żytnia,600,44,2,blok,biuro nieruchomości
Apartament Premium in the City Center.,10 500,Ochota,,1,122,4,apartamentowiec,biuro nieruchomości
Przytulne mieszkanie na Mokotowie,3 700,Mokotów,,750,45,2,blok,prywatny
"Widna kuchnia, 2 pokoje, 54m2, ciche, ul. Tolkiena",4 500,Mokotów,ul. Tolkiena 1,723,54,2,apartamentowiec,prywatny
"mieszkanie 2 pokoje, Praga Płd",2 200,Praga-Południe,ul. 1 Praskiego Pułku WP,700,"37,3",2,blok,prywatny
NOWE Dwupokojowe mieszkanie z miejscem garażowym,3 500,Praga-Południe,ul. Stanisława Rogalskiego,650,41,2,blok,prywatny
Dwa pokoje z garażem podziemnym,2 300,Białołęka,,0,"40,5",2,Zapytaj,biuro nieruchomości
Mieszkanie 2pok Wilanów do wynajęcia/Flat for rent,3 400,Wilanów,ul. Adama Branickiego,850,53,2,apartamentowiec,prywatny
Mieszkanie 65m2 Jaśminowy Mokotów,6 200,Stegny,,836,65,3,Zapytaj,prywatny
150m2 | Lokal Biurowy | Mokotów,16 000,Mokotów,ul. Antoniego Edwarda Odyńca,0,"149,33",3,kamienica,biuro nieruchomości
"Nowe budownictwo, wysoki standard, garaż.",4 000,Ursynów,ul. Kłobucka,500,47,2,Zapytaj,biuro nieruchomości
"Apt o pow. 103m2, 3pok, taras Mokotów PEREŁKA",10 500,Mokotów,ul. Rakowiecka,0,103,3,apartamentowiec,biuro nieruchomości
Komfortowy apartament na Saskiej Kępie,7 000,Saska Kępa,ul. Argentyńska,0,78,3,apartamentowiec,biuro nieruchomości
4 pokojowy apartament na Żoliborzu do wynajęcia,11 000,Stary Żoliborz,,1 250,132,4,blok,biuro nieruchomości
Mieszkanie 2 pokoje Stary Mokotów,3 700,Mokotów,ul. Puławska,780,"64,51",2,kamienica,biuro nieruchomości
Wynajmę mieszkanie 2 pok 57m2 Migdałowa 10,3 200,Natolin,ul. Migdałowa,1,57,2,blok,biuro nieruchomości
kawalerkę na Ochocie blisko WUM wynajmę,2 000,Rakowiec,ul. Walentego Skorochód-Majewskiego,500,27,1,blok,prywatny
Kawalerka wysoki standard Marymoncka 35,3 000,Stare Bielany,ul. Marymoncka 35,500,27,1,blok,prywatny
Apartament z wyjątkowym widokiem - Złota 44,35 000,Śródmieście,ul. Złota,0,142,3,Zapytaj,biuro nieruchomości
Elegancki apartament - Wspólna 50/50A,7 500,Śródmieście,ul. Wspólna,0,"83,71",3,kamienica,biuro nieruchomości
Idealne mieszkanie dla singla lub pary,2 850,Górny Mokotów,ul. Wiktorska,740,40,2,kamienica,prywatny
Elegancki apartament w Śródmieściu,26 000,Śródmieście,ul. Piękna,0,186,4,kamienica,biuro nieruchomości
"Apartament ""Black & White"", Zielona Białołęka",3 100,Białołęka,ul. Starej Gruszy 7,1 300,58,2,Zapytaj,prywatny
Hoża 50 with parking space,5 000,Śródmieście,ul. Hoża,1,52,2,apartamentowiec,biuro nieruchomości
Nowe | 2 pokojowe | Woronicza 82 | Bezpośrednio,3 670,Mokotów,ul. Jana Pawła Woronicza 82,570,37,2,blok,prywatny
Hoża | Plac 3 Krzyży | 2 pok | bezpośrednio |50 m2,4 000,Śródmieście,,0,"49,8",2,kamienica,prywatny
"Lux kawalerka, METRO Dworzec Wileński,klimatyzacja",2 399,Nowa Praga,ul. Wileńska,500,28,1,apartamentowiec,prywatny
Najczystsze powietrze*Mega standard*Idealny lokal.,4 400,Saska Kępa,ul. Stanisława Augusta,0,48,2,Zapytaj,biuro nieruchomości
"2pok, 52m, rozkładowe, widna kuchnia, garaż",3 000,Grochów,,700,52,2,Zapytaj,biuro nieruchomości
"2 pok. 66m, Dolna, blisko park Morskie Oko",3 200,Dolny Mokotów,,0,66,2,Zapytaj,biuro nieruchomości
"35m, 2 pok. z garażem, nowe, Praga Północ",2 800,Praga-Północ,,570,"35,16",2,apartamentowiec,biuro nieruchomości
Luksusowy apartament przy Łazienkach Królewskich,50 000,Dolny Mokotów,,0,274,6,apartamentowiec,biuro nieruchomości
"Apartament 96 m2 ze słonecznym tarasem, Żoliborz",7 800,Żoliborz,ul. Gwiaździsta,0,96,3,apartamentowiec,biuro nieruchomości
"3 pokoje, 2 łazienki, 2 balkony Ursus Szamoty",3 500,Ursus,ul. Posag 7 Panien,770,60,3,blok,prywatny
Ekskluzywny Apartament Przy Łazienkach Królewskich,33 000,Śródmieście,ul. Parkowa,0,230,4,apartamentowiec,biuro nieruchomości
2 seperate rooms/2pok NIEPRZECHODNIE. Wola. Nowe.,2 800,Wola,ul. Marcina Kasprzaka,500,30,2,apartamentowiec,prywatny
Mieszkanie - Warszawa Ursynów,3 172,Ursynów,ul. Związku Walki Młodych,0,52,2,blok,biuro nieruchomości
"Kawalerka 31m2, Mokotów, Blacharska 1, REMONT GEN.",2 150,Mokotów,ul. Blacharska,500,31,1,blok,prywatny
Piękne nowoczesne studio 37 m2,3 500,Grochów,ul. Grochowska,0,37,1,kamienica,prywatny
"Nowoczesny, 2 pokojowy apartament przy metrze",4 000,Ursynów,,750,52,2,apartamentowiec,prywatny
"2 poziomowy Apartament 140m2 ,taras, Mokotów",12 000,Górny Mokotów,ul. Łowicka,1 000,140,4,apartamentowiec,prywatny
"Przy samym metrze, umeblowane, AGD, ciche",2 700,Ursynów,ul. Wiolinowa,620,42,2,blok,prywatny
2p NOWE nieprzechodnie osobne URSUS 13m do centrum,2 400,Ursus,ul. Herbu Oksza,600,30,2,apartamentowiec,prywatny
"Mieszkanie blisko Fortu Bema, idealne dla pary.",3 000,Bemowo,ul. Księcia Bolesława,900,46,2,apartamentowiec,prywatny
Nowe mieszkanie dwupokojowe 45 mkw do wynajmu,3 200,Tarchomin,ul. Modlińska,700,"45,38",2,apartamentowiec,prywatny
3 Pokoje wys. stand. Sokratesa 9,6 000,Bielany,ul. Sokratesa,730,73,3,apartamentowiec,prywatny
Wygodne mieszkanie tuż przy przystanku,2 800,Bemowo,ul. Powstańców Śląskich,0,57,2,apartamentowiec,biuro nieruchomości
"Mieszkanie 23 m z ogródkiem, obok Metro Zacisze",2 300,Targówek,ul. Pospolita 23,1,23,1,dom wolnostojący,prywatny
Nowe mieszkanie z garażem,2 800,Bródno,,700,44,2,blok,prywatny
"Wynajmę 3 pokojowe mieszkanie, 2 tarasy i parking",3 500,Białołęka,corellego 3,1 100,68,3,apartamentowiec,prywatny
Umeblowany apartament dostępny od marca,3 500,Dolny Mokotów,ul. Bobrowiecka,0,64,2,apartamentowiec,biuro nieruchomości
Mieszkanie dwupokojowe do wynajęcia.,4 300,Wilanów,ul. Sarmacka,1 050,53,2,blok,biuro nieruchomości
Mieszkanie dwupokojowe do wynajęcia.,3 500,Wilanów,ul. Franciszka Klimczaka,580,"41,8",2,blok,biuro nieruchomości
Dwupokojowy apartament - Belvedere Residence,7 000,Mokotów,ul. Sułkowicka,1 300,"70,72",2,apartamentowiec,biuro nieruchomości
Kawalerka z garażem,2 500,Włochy,ul. Bakalarska 5,420,26,1,apartamentowiec,prywatny
Apartament z ogródkiem na Ursynowie - ąsy,5 000,Ursynów,ul. Pląsy,1 000,70,3,apartamentowiec,prywatny
Komfortowe 4 pokojowe mieszkanie + piękny widok,4 890,Praga-Południe,al. Aleja Stanów Zjednoczonych,1 150,92,4,blok,prywatny
"Mieszkanie na wynajem 51 m, ul. Lazurowa Warszawa",2 800,Jelonki,ul. Lazurowa,889,51,2,blok,prywatny
